Year,Ag District,County,County ANSI,Commodity,Value
2018,SOUTHWEST,ADAMS,,SOYBEANS,23.1
2018,EAST CENTRAL,BARNES,3,SOYBEANS,36.6
2018,NORTH CENTRAL,BENSON,5,SOYBEANS,29.4
2018,SOUTHWEST,BILLINGS,,SOYBEANS,23.1
2018,NORTH CENTRAL,BOTTINEAU,9,SOYBEANS,24
2018,SOUTHWEST,BOWMAN,,SOYBEANS,23.1
2018,NORTHWEST,BURKE,13,SOYBEANS,23.4
2018,SOUTH CENTRAL,BURLEIGH,15,SOYBEANS,29.7
2018,EAST CENTRAL,CASS,17,SOYBEANS,43.2
2018,NORTHEAST,CAVALIER,19,SOYBEANS,31.8
2018,SOUTHEAST,DICKEY,21,SOYBEANS,43.3
2018,NORTHWEST,DIVIDE,,SOYBEANS,18.7
2018,WEST CENTRAL,DUNN,,SOYBEANS,24.4
2018,CENTRAL,EDDY,27,SOYBEANS,25.1
2018,SOUTH CENTRAL,EMMONS,29,SOYBEANS,29.9
2018,CENTRAL,FOSTER,,SOYBEANS,34.2
2018,SOUTHWEST,GOLDENVALLEY,,SOYBEANS,23.1
2018,NORTHEAST,GRANDFORKS,35,SOYBEANS,34.9
2018,SOUTH CENTRAL,GRANT,,SOYBEANS,27
2018,EAST CENTRAL,GRIGGS,39,SOYBEANS,38.5
2018,SOUTHWEST,HETTINGER,,SOYBEANS,23.1
2018,CENTRAL,KIDDER,43,SOYBEANS,34.8
2018,SOUTHEAST,LAMOURE,45,SOYBEANS,46.8
2018,SOUTHEAST,LOGAN,,SOYBEANS,36.2
2018,NORTH CENTRAL,MCHENRY,49,SOYBEANS,24.2
2018,SOUTHEAST,MCINTOSH,,SOYBEANS,36.2
2018,WEST CENTRAL,MCKENZIE,53,SOYBEANS,20.5
2018,WEST CENTRAL,MCLEAN,55,SOYBEANS,25.5
2018,WEST CENTRAL,MERCER,,SOYBEANS,24.4
2018,SOUTH CENTRAL,MORTON,,SOYBEANS,27
2018,NORTHWEST,MOUNTRAIL,61,SOYBEANS,26.8
2018,NORTHEAST,NELSON,63,SOYBEANS,32.4
2018,WEST CENTRAL,OLIVER,65,SOYBEANS,27.1
2018,NORTHEAST,PEMBINA,67,SOYBEANS,31.9
2018,NORTH CENTRAL,PIERCE,69,SOYBEANS,28.6
2018,NORTHEAST,RAMSEY,71,SOYBEANS,30.4
2018,SOUTHEAST,RANSOM,73,SOYBEANS,46.3
2018,NORTHWEST,RENVILLE,75,SOYBEANS,22.7
2018,SOUTHEAST,RICHLAND,77,SOYBEANS,47.4
2018,NORTH CENTRAL,ROLETTE,79,SOYBEANS,31
2018,SOUTHEAST,SARGENT,81,SOYBEANS,48.3
2018,CENTRAL,SHERIDAN,,SOYBEANS,34.2
2018,SOUTHWEST,SLOPE,,SOYBEANS,23.1
2018,SOUTH CENTRAL,SLOUX,,SOYBEANS,27
2018,SOUTHWEST,STARK,,SOYBEANS,23.1
2018,EAST CENTRAL,STEELE,91,SOYBEANS,39.2
2018,CENTRAL,STUTSMAN,93,SOYBEANS,38.7
2018,NORTHEAST,TOWNER,95,SOYBEANS,30
2018,EAST CENTRAL,TRAILL,97,SOYBEANS,41.8
2018,NORTHEAST,WALSH,99,SOYBEANS,31.4
2018,NORTHWEST,WARD,101,SOYBEANS,21.4
2018,CENTRAL,WELLS,103,SOYBEANS,30.2
2018,NORTHWEST,WILLIAMS,,SOYBEANS,18.7
