NAME,GEOID,SMS_PM
Grand Forks,38035,0.188379682
Stutsman,38093,0.235108767
Sioux,38085,0.15413001
Morton,38059,0.166201921
Burleigh,38015,0.202059962
Oliver,38065,0.173951431
Ward,38101,0.184750646
McHenry,38049,0.180824853
Renville,38075,0.167282036
Williams,38105,0.158896266
Stark,38089,0.144916903
Cass,38017,0.182584853
Richland,38077,0.202897648
Pembina,38067,0.161026304
Walsh,38099,0.176702138
Cavalier,38019,0.175989429
Towner,38095,0.211596746
Ramsey,38071,0.251163331
Nelson,38063,0.228063371
Benson,38005,0.242933673
Eddy,38027,0.209489444
Griggs,38039,0.217189748
Steele,38091,0.190513412
Foster,38031,0.202859592
Barnes,38003,0.220555778
Traill,38097,0.179644853
Sargent,38081,0.224037983
Dickey,38021,0.216511816
LaMoure,38045,0.222870004
Ransom,38073,0.206999407
Logan,38047,0.241939193
Kidder,38043,0.246688511
McIntosh,38051,0.233748979
Grant,38037,0.146821176
Emmons,38029,0.17918571
McLean,38055,0.188264428
Mercer,38057,0.158164265
Mountrail,38061,0.190274112
Sheridan,38083,0.219487683
Wells,38103,0.19770842
Pierce,38069,0.219068775
Rolette,38079,0.220059034
Bottineau,38009,0.168453575
Burke,38013,0.195397147
Divide,38023,0.185831603
McKenzie,38053,0.151392276
Billings,38007,0.147780352
Golden Valley,38033,0.134562847
Slope,38087,0.145862141
Dunn,38025,0.153120877
Hettinger,38041,0.137420767
Adams,38001,0.133796855
Bowman,38011,0.141168063
