NAME,GEOID,LST_NIGHT
Grand Forks,38035,14247.59914
Stutsman,38093,14275.83766
Sioux,38085,14226.12037
Morton,38059,14227.90073
Burleigh,38015,14214.46078
Oliver,38065,14227.91128
Ward,38101,14211.69841
McHenry,38049,14215.828
Renville,38075,14168.21844
Williams,38105,14170.63125
Stark,38089,14208.57166
Cass,38017,14282.47266
Richland,38077,14332.44481
Pembina,38067,14217.47336
Walsh,38099,14229.52495
Cavalier,38019,14164.90101
Towner,38095,14178.60998
Ramsey,38071,14231.41665
Nelson,38063,14232.6839
Benson,38005,14204.03301
Eddy,38027,14211.54544
Griggs,38039,14232.76447
Steele,38091,14255.9027
Foster,38031,14236.82083
Barnes,38003,14279.85305
Traill,38097,14279.26858
Sargent,38081,14324.68913
Dickey,38021,14316.68804
LaMoure,38045,14291.81778
Ransom,38073,14290.36302
Logan,38047,14252.93231
Kidder,38043,14255.58667
McIntosh,38051,14241.10343
Grant,38037,14218.10456
Emmons,38029,14239.88169
McLean,38055,14206.11643
Mercer,38057,14224.39351
Mountrail,38061,14175.73722
Sheridan,38083,14234.0026
Wells,38103,14224.12334
Pierce,38069,14206.40109
Rolette,38079,14175.02623
Bottineau,38009,14168.62388
Burke,38013,14133.72428
Divide,38023,14148.00744
McKenzie,38053,14222.67318
Billings,38007,14197.37978
Golden Valley,38033,14167.7463
Slope,38087,14123.41119
Dunn,38025,14199.2903
Hettinger,38041,14158.31719
Adams,38001,14174.23585
Bowman,38011,14150.48701
