NAME,GEOID,LST_DAY
Grand Forks,38035,15016.94552
Stutsman,38093,14965.28144
Sioux,38085,15107.89787
Morton,38059,15068.91161
Burleigh,38015,15016.78026
Oliver,38065,15078.11065
Ward,38101,15050.24854
McHenry,38049,15077.01806
Renville,38075,15044.08101
Williams,38105,15042.00277
Stark,38089,15112.23782
Cass,38017,15023.92803
Richland,38077,15011.36469
Pembina,38067,15091.06888
Walsh,38099,15067.73063
Cavalier,38019,14989.13997
Towner,38095,15015.84563
Ramsey,38071,14981.91565
Nelson,38063,14948.71336
Benson,38005,15027.8381
Eddy,38027,15002.03877
Griggs,38039,14963.47771
Steele,38091,14981.51835
Foster,38031,15014.56575
Barnes,38003,14970.16855
Traill,38097,15026.23377
Sargent,38081,14991.26309
Dickey,38021,14995.06954
LaMoure,38045,14977.32017
Ransom,38073,15009.49665
Logan,38047,14959.30621
Kidder,38043,14931.26478
McIntosh,38051,14992.95035
Grant,38037,15109.27321
Emmons,38029,15042.24292
McLean,38055,15046.56798
Mercer,38057,15089.3819
Mountrail,38061,15044.05265
Sheridan,38083,14998.94255
Wells,38103,15011.23211
Pierce,38069,15029.99481
Rolette,38079,14981.30725
Bottineau,38009,15060.24496
Burke,38013,15036.88605
Divide,38023,15057.45483
McKenzie,38053,15115.79529
Billings,38007,15153.45904
Golden Valley,38033,15129.97481
Slope,38087,15090.14366
Dunn,38025,15151.73255
Hettinger,38041,15120.5168
Adams,38001,15126.68764
Bowman,38011,15130.84927
