NAME,GEOID,PAR
Grand Forks,38035,24.64408889
Stutsman,38093,20.16431626
Sioux,38085,16.19353928
Morton,38059,16.67614666
Burleigh,38015,18.71816673
Oliver,38065,17.10498145
Ward,38101,18.14351313
McHenry,38049,19.82119326
Renville,38075,17.93726862
Williams,38105,15.20208978
Stark,38089,15.26588313
Cass,38017,22.76304389
Richland,38077,21.99355465
Pembina,38067,26.25604189
Walsh,38099,25.38578441
Cavalier,38019,24.78569988
Towner,38095,23.13523742
Ramsey,38071,23.67605932
Nelson,38063,23.71280635
Benson,38005,22.3361371
Eddy,38027,22.10720409
Griggs,38039,22.3089347
Steele,38091,22.77542136
Foster,38031,21.6360729
Barnes,38003,20.76081724
Traill,38097,23.36320092
Sargent,38081,21.04233235
Dickey,38021,20.07292471
LaMoure,38045,19.99237035
Ransom,38073,20.84505311
Logan,38047,18.95788785
Kidder,38043,19.62105883
McIntosh,38051,19.14609634
Grant,38037,15.37901461
Emmons,38029,17.96583188
McLean,38055,17.87489931
Mercer,38057,17.10738842
Mountrail,38061,16.88858274
Sheridan,38083,19.80839445
Wells,38103,20.91495422
Pierce,38069,21.56589439
Rolette,38079,22.33385986
Bottineau,38009,19.76612002
Burke,38013,16.82493719
Divide,38023,15.5845083
McKenzie,38053,14.60855343
Billings,38007,14.28934593
Golden Valley,38033,13.32320731
Slope,38087,13.50388355
Dunn,38025,15.62028041
Hettinger,38041,14.7818819
Adams,38001,14.27743079
Bowman,38011,13.43585102
