NAME,GEOID,SMS_AM
Grand Forks,38035,0.226816449
Stutsman,38093,0.278859079
Sioux,38085,0.149761264
Morton,38059,0.145969907
Burleigh,38015,0.203170865
Oliver,38065,0.162295018
Ward,38101,0.211612775
McHenry,38049,0.203939299
Renville,38075,0.199820427
Williams,38105,0.142581573
Stark,38089,0.138821795
Cass,38017,0.24054073
Richland,38077,0.234950149
Pembina,38067,0.209530044
Walsh,38099,0.218572278
Cavalier,38019,0.197720645
Towner,38095,0.23195396
Ramsey,38071,0.276851694
Nelson,38063,0.265329882
Benson,38005,0.277462898
Eddy,38027,0.259168852
Griggs,38039,0.257423561
Steele,38091,0.232542868
Foster,38031,0.257912409
Barnes,38003,0.268599518
Traill,38097,0.2379883
Sargent,38081,0.270469815
Dickey,38021,0.275869923
LaMoure,38045,0.269585167
Ransom,38073,0.258122397
Logan,38047,0.262070215
Kidder,38043,0.276248575
McIntosh,38051,0.254446159
Grant,38037,0.132497589
Emmons,38029,0.183706283
McLean,38055,0.18806403
Mercer,38057,0.151153774
Mountrail,38061,0.194915378
Sheridan,38083,0.248688832
Wells,38103,0.240315314
Pierce,38069,0.239680192
Rolette,38079,0.23726143
Bottineau,38009,0.207472524
Burke,38013,0.185638241
Divide,38023,0.171937608
McKenzie,38053,0.128184782
Billings,38007,0.139469062
Golden Valley,38033,0.138769752
Slope,38087,0.134970298
Dunn,38025,0.145604352
Hettinger,38041,0.130844031
Adams,38001,0.127026436
Bowman,38011,0.131727439
