Year,Ag District,County,County ANSI,Data Item,Value
2021,SOUTHWEST,ADAMS,1,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.9
2021,EAST CENTRAL,BARNES,3,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",31.6
2021,NORTH CENTRAL,BENSON,5,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20.5
2021,SOUTHWEST,BILLINGS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.8
2021,NORTH CENTRAL,BOTTINEAU,9,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20.1
2021,SOUTHWEST,BOWMAN,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.8
2021,NORTHWEST,BURKE,13,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22
2021,SOUTH CENTRAL,BURLEIGH,15,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",13.9
2021,EAST CENTRAL,CASS,17,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.5
2021,NORTHEAST,CAVALIER,19,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",28.2
2021,SOUTHEAST,DICKEY,21,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32.4
2021,NORTHWEST,DIVIDE,23,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",13.6
2021,WEST CENTRAL,DUNN,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.8
2021,CENTRAL,EDDY,27,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20
2021,SOUTH CENTRAL,EMMONS,29,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20.6
2021,CENTRAL,FOSTER,31,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20.7
2021,SOUTHWEST,GOLDENVALLEY,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.8
2021,NORTHEAST,GRANDFORKS,35,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29.3
2021,SOUTH CENTRAL,GRANT,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.8
2021,EAST CENTRAL,GRIGGS,39,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",26
2021,SOUTHWEST,HETTINGER,41,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",19.9
2021,CENTRAL,KIDDER,43,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22.2
2021,SOUTHEAST,LAMOURE,45,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",31.4
2021,SOUTHEAST,LOGAN,47,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22.8
2021,NORTH CENTRAL,MCHENRY,49,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.9
2021,SOUTHEAST,MCINTOSH,51,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",19.9
2021,WEST CENTRAL,MCKENZIE,53,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",14
2021,WEST CENTRAL,MCLEAN,55,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",14.1
2021,WEST CENTRAL,MERCER,57,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",10
2021,SOUTH CENTRAL,MORTON,59,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",12.1
2021,NORTHWEST,MOUNTRAIL,61,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",14.3
2021,NORTHEAST,NELSON,63,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",27.8
2021,WEST CENTRAL,OLIVER,65,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",10.8
2021,NORTHEAST,PEMBINA,67,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29.2
2021,NORTH CENTRAL,PIERCE,69,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.9
2021,NORTHEAST,RAMSEY,71,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",31.6
2021,SOUTHEAST,RANSOM,73,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.9
2021,NORTHWEST,RENVILLE,75,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22.3
2021,SOUTHEAST,RICHLAND,77,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.2
2021,NORTH CENTRAL,ROLETTE,79,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",26.2
2021,SOUTHEAST,SARGENT,81,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.2
2021,CENTRAL,SHERIDAN,83,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",15.4
2021,SOUTH CENTRAL,SLOPE,85,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",17.1
