NAME,GEOID,PA
Grand Forks,38035,1.849828242
Stutsman,38093,1.90802142
Sioux,38085,2.177160148
Morton,38059,1.86672114
Burleigh,38015,1.694184097
Oliver,38065,1.626079481
Ward,38101,1.560186137
McHenry,38049,1.56241801
Renville,38075,1.799136144
Williams,38105,1.540731477
Stark,38089,2.418063503
Cass,38017,1.772852368
Richland,38077,2.111727116
Pembina,38067,1.573483707
Walsh,38099,1.741535408
Cavalier,38019,2.011226887
Towner,38095,1.976375521
Ramsey,38071,2.04411488
Nelson,38063,1.815341391
Benson,38005,1.771356844
Eddy,38027,1.823367633
Griggs,38039,1.723171214
Steele,38091,1.715935178
Foster,38031,1.631083963
Barnes,38003,1.934031707
Traill,38097,1.773542899
Sargent,38081,1.835326067
Dickey,38021,1.962623407
LaMoure,38045,2.09396732
Ransom,38073,1.751129109
Logan,38047,2.321263275
Kidder,38043,1.958862405
McIntosh,38051,2.035651879
Grant,38037,1.984653324
Emmons,38029,2.181261221
McLean,38055,1.420404078
Mercer,38057,1.481382718
Mountrail,38061,1.698399705
Sheridan,38083,1.695136094
Wells,38103,1.778984884
Pierce,38069,1.931979396
Rolette,38079,1.807985422
Bottineau,38009,1.817996172
Burke,38013,1.966632956
Divide,38023,1.45721247
McKenzie,38053,1.4657578
Billings,38007,1.862755145
Golden Valley,38033,1.107799578
Slope,38087,1.481341571
Dunn,38025,1.799749309
Hettinger,38041,2.417618172
Adams,38001,2.06623303
Bowman,38011,1.455068706
