Year,Ag District,County,County ANSI,Commodity,Value,CV (%)
2022,SOUTHWEST,ADAMS,1,SOYBEANS,18.4,4.6
2022,EAST CENTRAL,BARNES,3,SOYBEANS,33.3,6
2022,NORTH CENTRAL,BENSON,5,SOYBEANS,37.1,4.4
2022,SOUTHWEST,BILLINGS,,SOYBEANS,24.2,
2022,NORTH CENTRAL,BOTTINEAU,9,SOYBEANS,36.3,3
2022,SOUTHWEST,BOWMAN,,SOYBEANS,24.2,
2022,NORTHWEST,BURKE,,SOYBEANS,24.2,
2022,SOUTH CENTRAL,BURLEIGH,15,SOYBEANS,27.7,4.7
2022,EAST CENTRAL,CASS,17,SOYBEANS,45.6,2.6
2022,NORTHEAST,CAVALIER,19,SOYBEANS,39.3,3.7
2022,SOUTHEAST,DICKEY,21,SOYBEANS,40.5,3.5
2022,NORTHWEST,DIVIDE,,SOYBEANS,24.2,
2022,WEST CENTRAL,DUNN,25,SOYBEANS,25.2,4.9
2022,CENTRAL,EDDY,27,SOYBEANS,34.6,4.9
2022,SOUTH CENTRAL,EMMONS,29,SOYBEANS,28.9,3.8
2022,CENTRAL,FOSTER,31,SOYBEANS,34.1,4.9
2022,SOUTHWEST,GOLDENVALLEY,,SOYBEANS,24.2,
2022,NORTHEAST,GRANDFORKS,35,SOYBEANS,36.6,2.6
2022,SOUTH CENTRAL,GRANT,37,SOYBEANS,24.9,12.7
2022,EAST CENTRAL,GRIGGS,39,SOYBEANS,32.1,3.8
2022,SOUTHWEST,HETTINGER,41,SOYBEANS,15.1,12.8
2022,CENTRAL,KIDDER,43,SOYBEANS,25.8,8.8
2022,SOUTHEAST,LAMOURE,45,SOYBEANS,36.9,3.1
2022,SOUTHEAST,LOGAN,47,SOYBEANS,28.6,2.2
2022,NORTH CENTRAL,MCHENRY,49,SOYBEANS,32.4,3
2022,SOUTHEAST,MCINTOSH,51,SOYBEANS,26.2,7.3
2022,WEST CENTRAL,MCKENZIE,53,SOYBEANS,19,16.3
2022,WEST CENTRAL,MCLEAN,55,SOYBEANS,27.3,3.6
2022,WEST CENTRAL,MERCER,,SOYBEANS,24.2,
2022,SOUTH CENTRAL,MORTON,59,SOYBEANS,27.7,5.2
2022,NORTHWEST,MOUNTRAIL,61,SOYBEANS,20.6,5.3
2022,NORTHEAST,NELSON,63,SOYBEANS,32.9,3.2
2022,WEST CENTRAL,OLIVER,,SOYBEANS,24.2,
2022,NORTHEAST,PEMBINA,67,SOYBEANS,44.7,4.8
2022,NORTH CENTRAL,PIERCE,69,SOYBEANS,35,2.3
2022,NORTHEAST,RAMSEY,71,SOYBEANS,33.7,4.5
2022,SOUTHEAST,RANSOM,73,SOYBEANS,42.8,3.8
2022,NORTHWEST,RENVILLE,75,SOYBEANS,27.9,4.6
2022,SOUTHEAST,RICHLAND,77,SOYBEANS,38.7,5.6
2022,NORTH CENTRAL,ROLETTE,79,SOYBEANS,33.5,8.7
2022,SOUTHEAST,SARGENT,81,SOYBEANS,42,3.9
2022,CENTRAL,SHERIDAN,83,SOYBEANS,29.8,3.8
2022,SOUTH CENTRAL,SLOPE,,SOYBEANS,24.2,
2022,SOUTHWEST,SLOUX,87,SOYBEANS,19.2,10
2022,SOUTHWEST,STARK,89,SOYBEANS,19.1,10.5
2022,EAST CENTRAL,STEELE,91,SOYBEANS,38.1,3.5
2022,CENTRAL,STUTSMAN,93,SOYBEANS,33.1,4.6
2022,NORTHEAST,TOWNER,95,SOYBEANS,34.9,4.9
2022,EAST CENTRAL,TRAILL,97,SOYBEANS,41.1,2.6
2022,NORTHEAST,WALSH,99,SOYBEANS,42.8,2.6
2022,NORTHWEST,WARD,101,SOYBEANS,31.5,3.6
2022,CENTRAL,WELLS,103,SOYBEANS,34.4,5.6
2022,NORTHWEST,WILLIAMS,105,SOYBEANS,19,15.7
