GEOID,NAME,LST_DAY,SMS_AM,SAR,PA,NDVI,ET,LST_NIGHT,PAR,SMS_PM,YIELD
38027,EDDY,15049.45118,0.244714942,-11.32960098,2.204905314,6272.850819,185.4478701,14289.76006,22.26081103,0.23873753,36
38031,FOSTER,15024.23281,0.245996621,-10.85336815,2.782742563,6318.669932,183.4127727,14318.27317,21.9283551,0.236420827,38.4
38043,KIDDER,15035.88338,0.276793573,-11.86520346,3.023075131,6275.826154,182.148616,14316.00368,20.35869254,0.27240332,36.8
38083,SHERIDAN,15064.04299,0.247966678,-11.48779578,2.355053234,5963.950356,174.3043556,14309.47481,19.34382527,0.244982277,33.1
38093,STUTSMAN,15039.26115,0.264174198,-11.32220928,2.860912965,6360.265234,187.2841896,14319.62864,21.89768836,0.257079684,38
38103,WELLS,15059.1174,0.238338439,-11.4924762,2.442079911,6186.03612,182.8318511,14301.50115,20.56520349,0.23078874,40.8
38003,BARNES,15054.35336,0.230410843,-11.06895256,2.372925455,6385.903344,188.9879231,14317.17723,23.32190288,0.224381292,37.5
38017,CASS,15142.45624,0.185504909,-10.35558256,2.077145167,6254.609307,187.3708128,14309.18361,24.52988209,0.177020381,40.8
38039,GRIGGS,15061.30722,0.2314147,-11.43813012,2.277410852,6200.807144,179.7601677,14290.44218,23.45692673,0.226617579,33.8
38091,STEELE,15081.37957,0.195777989,-11.21621653,2.059851183,6237.709943,184.798414,14290.07329,24.15591813,0.19069238,36.1
38097,TRAILL,15144.74309,0.17680119,-10.773618,1.677721169,6182.284966,187.7602979,14301.55853,25.49026865,0.169026941,39.3
38005,BENSON,15094.88167,0.256781092,-12.04987075,1.74017842,5856.863093,168.7128968,14284.23567,21.53684052,0.249232258,29.3
38009,BOTTINEAU,15140.93008,0.187213596,-11.87946646,1.744939008,5891.881654,168.7599615,14242.11042,19.59835133,0.188888566,27.9
38049,MCHENRY,15121.36993,0.208225498,-11.91032965,2.056652176,5953.029717,172.2957017,14301.5018,19.06732221,0.20795305,29.1
38069,PIERCE,15109.946,0.224828033,-12.09924964,1.826203541,5648.914432,156.2291359,14285.16733,20.71447973,0.224102165,26.5
38079,ROLETTE,15108.72754,0.210295735,-12.05201592,1.649508313,5725.460951,164.5578726,14234.69888,21.87987247,0.21137563,24.8
38019,CAVALIER,15110.04305,0.177063148,-11.85532788,1.478747177,5481.647781,171.6637341,14229.49564,24.11050043,0.174752217,23.7
38035,GRANDFORKS,15124.50347,0.185077508,-11.41638975,1.76964024,6172.653045,182.4113083,14297.59835,25.21902894,0.178458792,33.2
38063,NELSON,15039.09344,0.237589165,-11.73672122,1.972586955,5858.165879,168.3197502,14290.57278,24.11877256,0.234407014,30.6
38067,PEMBINA,15113.73934,0.186627546,-11.14332595,1.707067157,6107.115644,184.7456829,14282.60061,26.86121928,0.178008284,32.6
38071,RAMSEY,15073.58833,0.253189961,-11.98802116,1.644571959,5436.955377,159.1465766,14301.39379,23.55163561,0.249335649,23.9
38095,TOWNER,15125.23002,0.203007042,-12.22942724,1.335120737,5518.317425,163.3887885,14257.54054,22.7976126,0.204716546,22.2
38099,WALSH,15130.03193,0.191949084,-11.38920339,1.799768201,5942.177059,182.5182997,14284.3458,25.92207682,0.184098081,30.7
38075,RENVILLE,15123.80229,0.192742555,-11.56728991,1.590381447,5809.672931,166.2466774,14266.26583,17.84740337,0.191970903,31.7
38101,WARD,15102.52995,0.212464989,-11.69074788,2.189753516,5993.754074,172.5196673,14287.76699,17.5784355,0.210144671,34.9
38105,WILLIAMS,15153.16453,0.164926636,-12.05093193,1.675522377,5383.313428,146.3838016,14273.73134,16.32361104,0.163465848,26.1
38013,BURKE,15114.94572,0.200434779,-12.05027468,1.392133749,5608.465515,149.1460285,14242.10953,17.07072109,0.203320257,30.7
38061,MOUNTRAIL,15138.99594,0.204224626,-11.73081172,2.014541652,5613.050292,157.7052685,14253.47936,16.59702503,0.201668121,30.7
38023,DIVIDE,15139.18747,0.185268725,-12.41542969,1.288231156,5209.298732,138.8354496,14246.77582,16.95736257,0.189747429,30.7
38015,BURLEIGH,15065.69664,0.225129795,-11.75470615,3.237941866,6294.547006,191.349693,14276.85646,18.9148943,0.222277625,38.4
38029,EMMONS,15117.04243,0.195998519,-11.82162762,3.2030342,6139.329245,189.2565175,14305.88417,18.76703648,0.196916536,40.6
38059,MORTON,15116.10951,0.193442618,-11.70456198,3.50379589,6228.505601,186.8285952,14272.56422,17.35185893,0.189364033,36.2
38037,GRANT,15146.05202,0.174295627,-12.04677902,3.579315225,5962.17199,170.1829933,14283.81157,16.29232485,0.177297982,30.7
