County,Value
GRANDFORKS,13.93237127
STUTSMAN,17.28675849
SIOUX,10.21160849
MORTON,10.62746305
BURLEIGH,12.52680402
OLIVER,10.84599516
WARD,10.71997754
MCHENRY,12.43502553
RENVILLE,9.825101807
WILLIAMS,7.800845501
STARK,9.013189763
CASS,17.02975252
RICHLAND,16.58367006
PEMBINA,12.29905612
WALSH,11.75389827
CAVALIER,10.40376612
TOWNER,11.41230444
RAMSEY,10.89126772
NELSON,13.58159575
BENSON,12.9528224
EDDY,15.58365634
GRIGGS,15.38329778
STEELE,16.66759704
FOSTER,16.70151392
BARNES,17.43306531
TRAILL,15.69107663
SARGENT,17.47384651
DICKEY,16.73301281
LAMOURE,18.18556651
RANSOM,18.30506683
LOGAN,15.14269551
KIDDER,14.8626262
MCINTOSH,14.72754068
GRANT,9.28977646
EMMONS,12.05988582
MCLEAN,10.19339218
MERCER,10.14605816
MOUNTRAIL,9.061901489
SHERIDAN,12.48729363
WELLS,14.25043341
PIERCE,11.5766018
ROLETTE,10.87208601
BOTTINEAU,11.16320985
BURKE,8.390075903
DIVIDE,7.611098822
MCKENZIE,7.293216025
BILLINGS,
GOLDENVALLEY,9.509524378
SLOPE,8.206370624
DUNN,7.611209075
HETTINGER,8.309866023
ADAMS,8.559756694
BOWMAN,7.987490015
